问题,答案,选项
1 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
1491 、在扑灭电气火灾的明火时，用气体灭火器扑灭。,正确,A、正确,B、错误
1492 、及时淘汰老化、性能不稳又具有安全隐患的仪器设备（如冰箱10年以上，烘箱12年以上）。,正确,A、正确,B、错误
1493 、实验产生或剩余的易挥发物，可以倒入废液缸内,错误,A、正确,B、错误
1494 、取用强碱性试剂后的小勺应擦净后存放,错误,A、正确,B、错误
1495 、实验产生或剩余的易挥发物，可以倒入废液缸内,错误,A、正确,B、错误
1496 、使用光学仪器时要小心操作，注意不要用手触摸光学镜面，避免划伤光学镜头或镜面。,正确,A、正确,B、错误
1497 、75％的乙醇水溶液可以用于皮肤、实验室工作台表面以及小型器械的消毒。皮肤消毒至少10秒、其他物体表面消毒不能少于3分钟。,正确,A、正确,B、错误
1498 、离开实验室前应检查门、窗、水龙头是否关好，通风设备、饮水设施、计算机、空调等是否已切断电源。,正确,A、正确,B、错误
1499 、正在进行实验时，可带着防护手套接听电话。,错误,A、正确,B、错误
1500 、误食了有毒化学品，要吃适量催吐剂尽快将其吐出来,错误,A、正确,B、错误
1501 、机床在运行中，可以更换主轴转速,错误,A、正确,B、错误
1502 、使用危险化学品单位应当制定本单位事故应急救援预案，配备应急救援人员和必要的应急救援器材、设备，并定期组织演练,正确,A、正确,B、错误
1503 、中毒事故中救护人员进入现场，应先抢救中毒者，再采取措施切断毒物来源。,错误,A、正确,B、错误
1504 、被微生物等生物材料污染的玻璃器皿应立即高压灭菌，然后清洗。,正确,A、正确,B、错误
1505 、火灾发生后，当所有的逃生线路被大火封锁时，应立即退回室内，用手电筒、挥舞衣物、呼叫等方式向窗外发送求救信号，等待救援。,正确,A、正确,B、错误
1506 、加强计算机的安全管理，建立病毒防护系统并不断加以更新，重要的数据资料应定期进行备份。,正确,A、正确,B、错误
1507 、现场触电急救可以打强心针。,错误,A、正确,B、错误
1508 、万一发生化学品泄漏事故，可用防毒面具、防毒口罩和捂湿毛巾等方法防止通过呼吸道造成伤害,正确,A、正确,B、错误
1509 、自然地形跑步时要注意做好缓冲动作，用全脚掌先着地，后蹬程度和前摆高度要小一些。,错误,A、正确,B、错误
1510 、学生在使用剧毒物品时，必须由教师或实验室工作人员在场指导,正确,A、正确,B、错误
1511 、盛装废弃危险化学品的容器和受废弃危险化学品污染的包装物，必须按照危险废物进行管理,正确,A、正确,B、错误
1512 、遇有电器着火，应先切断电源再救火。,正确,A、正确,B、错误
1513 、汞剂、苯胺类、硝基苯等可通过皮肤或粘膜吸收而使人中毒,正确,A、正确,B、错误
1514 、人体触电致死，是由于肝脏受到严重伤害。,错误,A、正确,B、错误
1515 、高压钢瓶可以没有固定设施，可以使用过期、未经检验和不合格的气瓶。,错误,A、正确,B、错误
1516 、湿热灭菌最高温度通常为150℃，时间为15min。,错误,A、正确,B、错误
1517 、红外灯、紫外灯不得安装在木柜或纸箱中使用。,正确,A、正确,B、错误
1518 、要保持实验室环境整洁，做到地面、桌面、设备三整洁，减少安全隐患,正确,A、正确,B、错误
1519 、加强对实验动物管理工作，防止人畜共患病和动物传染病的发生，是搞好生物安全管理工作的根本目标。,正确,A、正确,B、错误
1520 、SO2易溶于水，大量吸入会引起喉水肿，肺水肿、窒息,正确,A、正确,B、错误
1521 、在有爆炸和火灾危险场所使用手持式或移动式电动工具时，必须采用有防爆措施的电动工具。,正确,A、正确,B、错误
1522 、在使用硝化纤维、苦味酸、三硝基甲苯、三硝基苯等物质时，绝不能直接加热或撞击，还要注意周围不要有明火,正确,A、正确,B、错误
1523 、地线和零线的作用相同。,错误,A、正确,B、错误
1524 、操作四柱液压机时，机床启动后可立即投入使用。,错误,A、正确,B、错误
1525 、因为乙醚长时间与空气接触可以形成羟乙基过氧化氢，成为一种具有猛烈爆炸性的物质，因此，在蒸馏乙醚时不能将液体蒸干,正确,A、正确,B、错误
1526 、要加强实验室排污处理装置（系统）的建设和管理，做到达标排放。实验废弃物不得倒入自来水下水道或普通垃圾箱等处。,正确,A、正确,B、错误
1527 、应避免独自一人在实验室做有危险的实验。,正确,A、正确,B、错误
1528 、溅入口中已下咽的强碱，先饮用大量水，再服用乙酸果汁，鸡蛋清。,正确,A、正确,B、错误
1529 、一些低毒、无毒的实验废液可以不经处理，直接由下水道排放。,错误,A、正确,B、错误
"1530 、实验室应对仪器设备加强维护保养,定期校验和检修。",正确,A、正确,B、错误
1531 、乙炔金属盐、环氧乙烷、偶氮氧化物等都属于易燃和易爆的化学试剂，处理时应该特别小心,正确,A、正确,B、错误
1532 、精加工工件时，应在加工中随时测量工件尺寸。,错误,A、正确,B、错误
1533 、实验室内电源根据需要可自行拆装、改线。,错误,A、正确,B、错误
1534 、铸造实习期间不准穿凉鞋、拖鞋，不准穿短裤，女生不准穿裙子,正确,A、正确,B、错误
1535 、电路保险丝熔断，短期内可以用铜丝或铁丝代替,错误,A、正确,B、错误
1536 、针头、玻璃、一次性手术刀等利器应在使用后放在耐扎容器中，尖利物容器应在内容物达到三分之二前进行置换处置。,正确,A、正确,B、错误
1537 、可以用潮湿的手碰开关、电线和电器。,错误,A、正确,B、错误
1538 、发生剧毒化学品被盗、丢失、误售、误用后必须立即向当地公安部门报告而触犯刑律的，否则对负有责任的主管人员和其他直接责任人员依照刑法追究刑事责任,正确,A、正确,B、错误
1539 、严禁将未经验证的程序输入数控装置进行零件加工。,正确,A、正确,B、错误
1540 、身边有人严重触电，应当首先切断电源，然后进行紧急抢救如人工呼吸，并立即拨打急救电话120。,正确,A、正确,B、错误
1541 、酚灼伤皮肤时，应立即脱掉被污染衣物，用10%酒精反复擦拭，再用大量清水冲洗，直至无酚味为止，然后用饱和硫酸钠湿敷,正确,A、正确,B、错误
1542 、久藏的乙醚因可能存在过氧化物，为了防止爆炸，在蒸发时必须有人值守，不能完全蒸干,正确,A、正确,B、错误
1543 、发生化学事故后，对有毒的衣物应及时进行无毒化处理,正确,A、正确,B、错误
1544 、有关放射性核素的实验操作必须在指定的同位素实验室进行。,正确,A、正确,B、错误
1545 、电击（触电）通常指因为人体接触带电的线路或设备而受到伤害的事故。为了避免电击（触电）事故的发生，设备须可靠接地和人体对地绝缘,正确,A、正确,B、错误
1546 、打开氨水、硝酸、盐酸等药品瓶封口时，应先盖上湿布，用冷水冷却后再开瓶塞，以防溅出，尤其在夏天更应注意,正确,A、正确,B、错误
1547 、吊车在工作时，可以进行检修和调整,错误,A、正确,B、错误
1548 、实验中遇到严重割伤，可在伤口上部10cm处用沙布扎紧，减慢流血，并立即送医院。,正确,A、正确,B、错误
1549 、学生进入实验室学习、工作前应接受安全教育或培训，并通过考核。,正确,A、正确,B、错误
1550 、实验室内可以使用木制配电板、闸刀开关、花线电线。,错误,A、正确,B、错误
1551 、实验室内不得停放自行车、电动车、汽车。,正确,A、正确,B、错误
1552 、实验室内应使用空气开关并配备必要的漏电保护器；电气设备应配备足够的用电功率和电线，不得超负荷用电；电气设备和大型仪器须接地良好，对电线老化等隐患要定期检查并及时排除。,正确,A、正确,B、错误
1553 、使用精密仪器时，必须严格按照操作规程进行操作，细心谨慎，避免因粗心大意而损坏仪器。如发现仪器有故障，应立即停止使用，报告教师，及时排除故障。使用后必须自觉填写登记本。,正确,A、正确,B、错误
1554 、使用电子门禁的大楼和实验室，应对各类人员设置相应的级别，对于门禁卡丢失、人员调动或离校等情况应及时采取措施，办理报失或移交手续。,正确,A、正确,B、错误
1555 、学生进入实验室学习、工作前应接受安全教育或培训，并通过考核。,正确,A、正确,B、错误
"1556 、如被火场浓烟所困,应迅速用湿布掩住口鼻,并采取低姿势迅速逃生。",正确,A、正确,B、错误
1557 、我国通用的化学试剂可分为分析纯和化学纯两个等级，试剂瓶的标签有相应的颜色标志分别是分析纯红色，化学纯蓝色。,正确,A、正确,B、错误
1558 、烘箱（干燥箱）在加热时，门可以开启。,错误,A、正确,B、错误
"1559 、乙炔衍生物、乙炔金属盐、1,2-环氧乙烷、偶氮氧化物等都属于易燃和易爆的化学试剂，处理时应该特别小心",正确,A、正确,B、错误
1560 、Na、K、电石、金属氢化物不能与水及空气接触，须密闭保存,正确,A、正确,B、错误
1561 、建筑物发生火灾时，乘坐电梯疏散即快速又安全省力。,错误,A、正确,B、错误
1562 、进行电器维修必须先关掉电源再进行修理。,正确,A、正确,B、错误
1563 、Cl2和CO作用生成的光气毒性比Cl2大,正确,A、正确,B、错误
1564 、遇到停电停水等情况，实验室人员必须检查电源和水源是否关闭，避免重新来电来水时发生相关安全事故。,正确,A、正确,B、错误
1565 、当发生火情时尽快沿着疏散指示标志和安全出口相反方向迅速离开火场。,错误,A、正确,B、错误
1566 、涉及生物安全性的动物实验，都必须在相应级别的生物安全实验室内进行。,正确,A、正确,B、错误
1567 、使用钻床钻孔时，身体与主轴可以靠近些，这样工作起来比较方便。,错误,A、正确,B、错误
1568 、在分子生物学、遗传学、基因工程等实验中接触的溴化乙锭（EB）是致癌物质，做实验中不能让药品接触到皮肤上。,正确,A、正确,B、错误
1569 、次氯酸钠一般不用作杀菌剂，常用于一般用途的消毒剂以及浸泡污染的非金属物质。 (答案：,正确,A、正确,B、错误
